,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,OPTYPE,REL_TIME_START,REL_TIME_END
0,28,3,0,0,0,0,0,0,3,0,0,0,0
1,29,3,0,0,0,0,0,0,3,0,0,0,0
2,30,3,0,0,0,0,0,0,3,0,0,0,0
3,31,5,0,0,0,0,0,0,3,0,0,0,0
4,32,5,0,0,0,0,0,0,3,0,0,0,0
5,33,5,0,0,0,0,0,0,3,0,0,0,0
6,36,15,0,0,0,0,0,0,3,0,0,0,0
7,37,15,0,0,0,0,0,0,3,0,0,0,0
8,38,15,0,0,0,0,0,0,3,0,0,0,0
9,39,17,0,0,0,0,0,0,3,0,0,0,0
10,40,17,0,0,0,0,0,0,3,0,0,0,0
11,41,17,0,0,0,0,0,0,3,0,0,0,0
12,42,17,0,0,0,0,0,0,3,0,0,0,0
13,45,21,0,0,0,0,0,0,3,0,0,0,0
14,46,21,0,0,0,0,0,0,3,0,0,0,0
15,47,21,0,0,0,0,0,0,3,0,0,0,0
16,48,21,0,0,0,0,0,0,3,0,0,0,0
17,49,21,0,0,0,0,0,0,3,0,0,0,0
18,50,23,0,0,0,0,0,0,3,0,0,0,0
19,53,2,0,0,0,0,0,0,3,0,0,0,0
20,54,6,0,0,0,0,0,0,3,0,0,0,0
21,55,6,0,0,0,0,0,0,3,0,0,0,0
22,57,6,0,0,0,0,0,0,3,0,0,0,0
23,58,6,0,0,0,0,0,0,3,0,0,0,0
24,59,18,0,0,0,0,0,0,3,0,0,0,0
25,60,18,0,0,0,0,0,0,3,0,0,0,0
26,61,24,0,0,0,0,0,0,3,0,0,0,0
27,62,24,0,0,0,0,0,0,3,0,0,0,0
28,63,24,0,0,0,0,0,0,3,0,0,0,0
29,64,24,0,0,0,0,0,0,3,0,0,0,0
30,65,8,0,0,0,0,0,0,3,0,0,0,0
31,66,8,0,0,0,0,0,0,3,0,0,0,0
32,67,7,0,0,0,0,0,0,3,0,0,0,0
